Station Name,Time Period,Avg Daily Entries
Woodley Park,Late Night (12am-Close),0.0K
Wiehle-Reston East,Late Night (12am-Close),0.0K
West Hyattsville,Late Night (12am-Close),0.0K
West Falls Church,Late Night (12am-Close),0.0K
Waterfront,Late Night (12am-Close),0.0K
Virginia Sq-GMU,Late Night (12am-Close),0.0K
Vienna,Late Night (12am-Close),0.0K
Van Ness-UDC,Late Night (12am-Close),0.0K
Van Dorn Street,Late Night (12am-Close),0.0K
Union Station,Late Night (12am-Close),0.0K
U Street,Late Night (12am-Close),0.0K
Tysons,Late Night (12am-Close),0.0K
Twinbrook,Late Night (12am-Close),0.0K
Tenleytown-AU,Late Night (12am-Close),0.0K
Takoma,Late Night (12am-Close),0.0K
Suitland,Late Night (12am-Close),0.0K
Stadium-Armory,Late Night (12am-Close),0.0K
Spring Hill,Late Night (12am-Close),0.0K
Southern Ave,Late Night (12am-Close),0.0K
Smithsonian,Late Night (12am-Close),0.0K
Shaw-Howard U,Late Night (12am-Close),0.0K
Shady Grove,Late Night (12am-Close),0.0K
Rosslyn,Late Night (12am-Close),0.0K
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K
Rockville,Late Night (12am-Close),0.0K
Rhode Island Ave,Late Night (12am-Close),0.0K
Reston Town Center,Late Night (12am-Close),0.0K
Potomac Yard,Late Night (12am-Close),0.0K
Potomac Ave,Late Night (12am-Close),0.0K
Pentagon City,Late Night (12am-Close),0.0K
Pentagon,Late Night (12am-Close),0.0K
North Bethesda,Late Night (12am-Close),0.0K
NoMa-Gallaudet U,Late Night (12am-Close),0.0K
New Carrollton,Late Night (12am-Close),0.0K
Naylor Road,Late Night (12am-Close),0.0K
Navy Yard-Ballpark,Late Night (12am-Close),0.0K
Mt Vernon Sq,Late Night (12am-Close),0.0K
Morgan Boulevard,Late Night (12am-Close),0.0K
Minnesota Ave,Late Night (12am-Close),0.0K
Metro Center,Late Night (12am-Close),0.0K
Medical Center,Late Night (12am-Close),0.0K
McPherson Sq,Late Night (12am-Close),0.0K
McLean,Late Night (12am-Close),0.0K
Loudoun Gateway,Late Night (12am-Close),0.0K
Landover,Late Night (12am-Close),0.0K
L'Enfant Plaza,Late Night (12am-Close),0.0K
King St-Old Town,Late Night (12am-Close),0.0K
Judiciary Square,Late Night (12am-Close),0.0K
Innovation Center,Late Night (12am-Close),0.0K
Hyattsville Crossing,Late Night (12am-Close),0.0K
Huntington,Late Night (12am-Close),0.0K
Herndon,Late Night (12am-Close),0.0K
Grosvenor-Strathmore,Late Night (12am-Close),0.0K
Greensboro,Late Night (12am-Close),0.0K
Greenbelt,Late Night (12am-Close),0.0K
Glenmont,Late Night (12am-Close),0.0K
Georgia Ave-Petworth,Late Night (12am-Close),0.0K
Gallery Place,Late Night (12am-Close),0.0K
Friendship Heights,Late Night (12am-Close),0.0K
Franconia-Springfield,Late Night (12am-Close),0.0K
Fort Totten,Late Night (12am-Close),0.1K
Forest Glen,Late Night (12am-Close),0.0K
Foggy Bottom-GWU,Late Night (12am-Close),0.0K
Federal Triangle,Late Night (12am-Close),0.0K
Federal Center SW,Late Night (12am-Close),0.0K
Farragut West,Late Night (12am-Close),0.0K
Farragut North,Late Night (12am-Close),0.0K
Eisenhower Ave,Late Night (12am-Close),0.0K
Eastern Market,Late Night (12am-Close),0.0K
East Falls Church,Late Night (12am-Close),0.0K
Dupont Circle,Late Night (12am-Close),0.0K
Dunn Loring,Late Night (12am-Close),0.0K
Dulles Airport,Late Night (12am-Close),0.0K
Downtown Largo,Late Night (12am-Close),0.0K
Deanwood,Late Night (12am-Close),0.0K
Crystal City,Late Night (12am-Close),0.0K
Court House,Late Night (12am-Close),0.0K
Congress Heights,Late Night (12am-Close),0.0K
Columbia Heights,Late Night (12am-Close),0.0K
College Park-U of Md,Late Night (12am-Close),0.0K
Cleveland Park,Late Night (12am-Close),0.0K
Clarendon,Late Night (12am-Close),0.0K
Cheverly,Late Night (12am-Close),0.0K
Capitol South,Late Night (12am-Close),0.0K
Capitol Heights,Late Night (12am-Close),0.0K
Brookland-CUA,Late Night (12am-Close),0.0K
Branch Ave,Late Night (12am-Close),0.0K
Braddock Road,Late Night (12am-Close),0.0K
Bethesda,Late Night (12am-Close),0.0K
Benning Road,Late Night (12am-Close),0.0K
Ballston-MU,Late Night (12am-Close),0.0K
Ashburn,Late Night (12am-Close),0.0K
Arlington Cemetery,Late Night (12am-Close),0.0K
Archives,Late Night (12am-Close),0.0K
Anacostia,Late Night (12am-Close),0.0K
Addison Road,Late Night (12am-Close),0.0K
Woodley Park,Evening (7pm-12am),0.3K
Wiehle-Reston East,Evening (7pm-12am),0.1K
West Hyattsville,Evening (7pm-12am),0.1K
West Falls Church,Evening (7pm-12am),0.1K
Waterfront,Evening (7pm-12am),0.7K
Virginia Sq-GMU,Evening (7pm-12am),0.2K
Vienna,Evening (7pm-12am),0.2K
Van Ness-UDC,Evening (7pm-12am),0.2K
Van Dorn Street,Evening (7pm-12am),0.1K
Union Station,Evening (7pm-12am),2.1K
U Street,Evening (7pm-12am),1.1K
Tysons,Evening (7pm-12am),0.5K
Twinbrook,Evening (7pm-12am),0.2K
Tenleytown-AU,Evening (7pm-12am),0.4K
Takoma,Evening (7pm-12am),0.0K
Suitland,Evening (7pm-12am),0.2K
Stadium-Armory,Evening (7pm-12am),0.2K
Spring Hill,Evening (7pm-12am),0.1K
Southern Ave,Evening (7pm-12am),0.2K
Smithsonian,Evening (7pm-12am),0.5K
Shaw-Howard U,Evening (7pm-12am),0.4K
Shady Grove,Evening (7pm-12am),0.2K
Rosslyn,Evening (7pm-12am),0.9K
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.6K
Rockville,Evening (7pm-12am),0.2K
Rhode Island Ave,Evening (7pm-12am),0.5K
Reston Town Center,Evening (7pm-12am),0.1K
Potomac Yard,Evening (7pm-12am),0.1K
Potomac Ave,Evening (7pm-12am),0.2K
Pentagon City,Evening (7pm-12am),1.0K
Pentagon,Evening (7pm-12am),0.3K
North Bethesda,Evening (7pm-12am),0.2K
NoMa-Gallaudet U,Evening (7pm-12am),1.1K
New Carrollton,Evening (7pm-12am),0.2K
Naylor Road,Evening (7pm-12am),0.1K
Navy Yard-Ballpark,Evening (7pm-12am),4.1K
Mt Vernon Sq,Evening (7pm-12am),0.8K
Morgan Boulevard,Evening (7pm-12am),0.1K
Minnesota Ave,Evening (7pm-12am),0.1K
Metro Center,Evening (7pm-12am),3.2K
Medical Center,Evening (7pm-12am),0.2K
McPherson Sq,Evening (7pm-12am),1.2K
McLean,Evening (7pm-12am),0.3K
Loudoun Gateway,Evening (7pm-12am),0.0K
Landover,Evening (7pm-12am),0.1K
L'Enfant Plaza,Evening (7pm-12am),1.3K
King St-Old Town,Evening (7pm-12am),0.5K
Judiciary Square,Evening (7pm-12am),0.4K
Innovation Center,Evening (7pm-12am),0.1K
Hyattsville Crossing,Evening (7pm-12am),0.3K
Huntington,Evening (7pm-12am),0.1K
Herndon,Evening (7pm-12am),0.0K
Grosvenor-Strathmore,Evening (7pm-12am),0.1K
Greensboro,Evening (7pm-12am),0.2K
Greenbelt,Evening (7pm-12am),0.2K
Glenmont,Evening (7pm-12am),0.0K
Georgia Ave-Petworth,Evening (7pm-12am),0.4K
Gallery Place,Evening (7pm-12am),3.2K
Friendship Heights,Evening (7pm-12am),0.4K
Franconia-Springfield,Evening (7pm-12am),0.2K
Fort Totten,Evening (7pm-12am),0.9K
Forest Glen,Evening (7pm-12am),0.0K
Foggy Bottom-GWU,Evening (7pm-12am),2.3K
Federal Triangle,Evening (7pm-12am),0.5K
Federal Center SW,Evening (7pm-12am),0.2K
Farragut West,Evening (7pm-12am),1.8K
Farragut North,Evening (7pm-12am),2.2K
Eisenhower Ave,Evening (7pm-12am),0.1K
Eastern Market,Evening (7pm-12am),0.7K
East Falls Church,Evening (7pm-12am),0.1K
Dupont Circle,Evening (7pm-12am),2.2K
Dunn Loring,Evening (7pm-12am),0.1K
Dulles Airport,Evening (7pm-12am),0.5K
Downtown Largo,Evening (7pm-12am),0.1K
Deanwood,Evening (7pm-12am),0.1K
Crystal City,Evening (7pm-12am),0.5K
Court House,Evening (7pm-12am),0.4K
Congress Heights,Evening (7pm-12am),0.1K
Columbia Heights,Evening (7pm-12am),1.1K
College Park-U of Md,Evening (7pm-12am),0.2K
Cleveland Park,Evening (7pm-12am),0.3K
Clarendon,Evening (7pm-12am),0.5K
Cheverly,Evening (7pm-12am),0.0K
Capitol South,Evening (7pm-12am),0.6K
Capitol Heights,Evening (7pm-12am),0.1K
Brookland-CUA,Evening (7pm-12am),0.3K
Branch Ave,Evening (7pm-12am),0.1K
Braddock Road,Evening (7pm-12am),0.2K
Bethesda,Evening (7pm-12am),0.7K
Benning Road,Evening (7pm-12am),0.1K
Ballston-MU,Evening (7pm-12am),0.7K
Ashburn,Evening (7pm-12am),0.1K
Arlington Cemetery,Evening (7pm-12am),0.0K
Archives,Evening (7pm-12am),0.8K
Anacostia,Evening (7pm-12am),0.3K
Addison Road,Evening (7pm-12am),0.1K
Woodley Park,PM Peak (3pm-7pm),1.0K
Wiehle-Reston East,PM Peak (3pm-7pm),0.4K
West Hyattsville,PM Peak (3pm-7pm),0.5K
West Falls Church,PM Peak (3pm-7pm),0.2K
Waterfront,PM Peak (3pm-7pm),1.2K
Virginia Sq-GMU,PM Peak (3pm-7pm),0.6K
Vienna,PM Peak (3pm-7pm),0.6K
Van Ness-UDC,PM Peak (3pm-7pm),0.9K
Van Dorn Street,PM Peak (3pm-7pm),0.3K
Union Station,PM Peak (3pm-7pm),6.4K
U Street,PM Peak (3pm-7pm),1.4K
Tysons,PM Peak (3pm-7pm),1.1K
Twinbrook,PM Peak (3pm-7pm),0.7K
Tenleytown-AU,PM Peak (3pm-7pm),1.7K
Takoma,PM Peak (3pm-7pm),0.0K
Suitland,PM Peak (3pm-7pm),0.4K
Stadium-Armory,PM Peak (3pm-7pm),0.6K
Spring Hill,PM Peak (3pm-7pm),0.4K
Southern Ave,PM Peak (3pm-7pm),0.4K
Smithsonian,PM Peak (3pm-7pm),3.4K
Shaw-Howard U,PM Peak (3pm-7pm),1.4K
Shady Grove,PM Peak (3pm-7pm),0.9K
Rosslyn,PM Peak (3pm-7pm),3.7K
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9K
Rockville,PM Peak (3pm-7pm),0.6K
Rhode Island Ave,PM Peak (3pm-7pm),1.0K
Reston Town Center,PM Peak (3pm-7pm),0.4K
Potomac Yard,PM Peak (3pm-7pm),0.4K
Potomac Ave,PM Peak (3pm-7pm),0.5K
Pentagon City,PM Peak (3pm-7pm),2.5K
Pentagon,PM Peak (3pm-7pm),4.5K
North Bethesda,PM Peak (3pm-7pm),0.7K
NoMa-Gallaudet U,PM Peak (3pm-7pm),4.1K
New Carrollton,PM Peak (3pm-7pm),0.6K
Naylor Road,PM Peak (3pm-7pm),0.2K
Navy Yard-Ballpark,PM Peak (3pm-7pm),4.1K
Mt Vernon Sq,PM Peak (3pm-7pm),1.7K
Morgan Boulevard,PM Peak (3pm-7pm),0.2K
Minnesota Ave,PM Peak (3pm-7pm),0.5K
Metro Center,PM Peak (3pm-7pm),9.7K
Medical Center,PM Peak (3pm-7pm),2.2K
McPherson Sq,PM Peak (3pm-7pm),5.1K
McLean,PM Peak (3pm-7pm),1.7K
Loudoun Gateway,PM Peak (3pm-7pm),0.1K
Landover,PM Peak (3pm-7pm),0.1K
L'Enfant Plaza,PM Peak (3pm-7pm),7.9K
King St-Old Town,PM Peak (3pm-7pm),1.2K
Judiciary Square,PM Peak (3pm-7pm),2.8K
Innovation Center,PM Peak (3pm-7pm),0.3K
Hyattsville Crossing,PM Peak (3pm-7pm),0.6K
Huntington,PM Peak (3pm-7pm),0.5K
Herndon,PM Peak (3pm-7pm),0.2K
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
Greensboro,PM Peak (3pm-7pm),0.6K
Greenbelt,PM Peak (3pm-7pm),0.6K
Glenmont,PM Peak (3pm-7pm),0.0K
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.3K
Gallery Place,PM Peak (3pm-7pm),6.5K
Friendship Heights,PM Peak (3pm-7pm),1.3K
Franconia-Springfield,PM Peak (3pm-7pm),0.6K
Fort Totten,PM Peak (3pm-7pm),2.8K
Forest Glen,PM Peak (3pm-7pm),0.0K
Foggy Bottom-GWU,PM Peak (3pm-7pm),7.1K
Federal Triangle,PM Peak (3pm-7pm),4.1K
Federal Center SW,PM Peak (3pm-7pm),2.4K
Farragut West,PM Peak (3pm-7pm),7.9K
Farragut North,PM Peak (3pm-7pm),8.2K
Eisenhower Ave,PM Peak (3pm-7pm),0.4K
Eastern Market,PM Peak (3pm-7pm),1.2K
East Falls Church,PM Peak (3pm-7pm),0.5K
Dupont Circle,PM Peak (3pm-7pm),4.7K
Dunn Loring,PM Peak (3pm-7pm),0.4K
Dulles Airport,PM Peak (3pm-7pm),1.0K
Downtown Largo,PM Peak (3pm-7pm),0.4K
Deanwood,PM Peak (3pm-7pm),0.2K
Crystal City,PM Peak (3pm-7pm),2.4K
Court House,PM Peak (3pm-7pm),1.1K
Congress Heights,PM Peak (3pm-7pm),0.4K
Columbia Heights,PM Peak (3pm-7pm),3.1K
College Park-U of Md,PM Peak (3pm-7pm),0.6K
Cleveland Park,PM Peak (3pm-7pm),0.6K
Clarendon,PM Peak (3pm-7pm),0.8K
Cheverly,PM Peak (3pm-7pm),0.1K
Capitol South,PM Peak (3pm-7pm),4.5K
Capitol Heights,PM Peak (3pm-7pm),0.2K
Brookland-CUA,PM Peak (3pm-7pm),1.2K
Branch Ave,PM Peak (3pm-7pm),0.3K
Braddock Road,PM Peak (3pm-7pm),0.6K
Bethesda,PM Peak (3pm-7pm),2.1K
Benning Road,PM Peak (3pm-7pm),0.3K
Ballston-MU,PM Peak (3pm-7pm),2.1K
Ashburn,PM Peak (3pm-7pm),0.2K
Arlington Cemetery,PM Peak (3pm-7pm),0.3K
Archives,PM Peak (3pm-7pm),3.7K
Anacostia,PM Peak (3pm-7pm),1.3K
Addison Road,PM Peak (3pm-7pm),0.2K
Woodley Park,Midday (9:30am-3pm),1.3K
Wiehle-Reston East,Midday (9:30am-3pm),0.4K
West Hyattsville,Midday (9:30am-3pm),0.6K
West Falls Church,Midday (9:30am-3pm),0.4K
Waterfront,Midday (9:30am-3pm),0.9K
Virginia Sq-GMU,Midday (9:30am-3pm),0.6K
Vienna,Midday (9:30am-3pm),1.0K
Van Ness-UDC,Midday (9:30am-3pm),0.9K
Van Dorn Street,Midday (9:30am-3pm),0.4K
Union Station,Midday (9:30am-3pm),3.3K
U Street,Midday (9:30am-3pm),1.0K
Tysons,Midday (9:30am-3pm),0.4K
Twinbrook,Midday (9:30am-3pm),0.8K
Tenleytown-AU,Midday (9:30am-3pm),0.9K
Takoma,Midday (9:30am-3pm),0.0K
Suitland,Midday (9:30am-3pm),0.7K
Stadium-Armory,Midday (9:30am-3pm),0.6K
Spring Hill,Midday (9:30am-3pm),0.2K
Southern Ave,Midday (9:30am-3pm),0.7K
Smithsonian,Midday (9:30am-3pm),1.7K
Shaw-Howard U,Midday (9:30am-3pm),0.8K
Shady Grove,Midday (9:30am-3pm),1.4K
Rosslyn,Midday (9:30am-3pm),1.9K
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.9K
Rockville,Midday (9:30am-3pm),0.7K
Rhode Island Ave,Midday (9:30am-3pm),1.4K
Reston Town Center,Midday (9:30am-3pm),0.2K
Potomac Yard,Midday (9:30am-3pm),0.3K
Potomac Ave,Midday (9:30am-3pm),0.7K
Pentagon City,Midday (9:30am-3pm),2.1K
Pentagon,Midday (9:30am-3pm),2.0K
North Bethesda,Midday (9:30am-3pm),0.6K
NoMa-Gallaudet U,Midday (9:30am-3pm),2.4K
New Carrollton,Midday (9:30am-3pm),0.9K
Naylor Road,Midday (9:30am-3pm),0.4K
Navy Yard-Ballpark,Midday (9:30am-3pm),1.4K
Mt Vernon Sq,Midday (9:30am-3pm),1.0K
Morgan Boulevard,Midday (9:30am-3pm),0.2K
Minnesota Ave,Midday (9:30am-3pm),0.5K
Metro Center,Midday (9:30am-3pm),3.0K
Medical Center,Midday (9:30am-3pm),0.7K
McPherson Sq,Midday (9:30am-3pm),1.8K
McLean,Midday (9:30am-3pm),0.5K
Loudoun Gateway,Midday (9:30am-3pm),0.1K
Landover,Midday (9:30am-3pm),0.2K
L'Enfant Plaza,Midday (9:30am-3pm),2.7K
King St-Old Town,Midday (9:30am-3pm),1.2K
Judiciary Square,Midday (9:30am-3pm),0.9K
Innovation Center,Midday (9:30am-3pm),0.2K
Hyattsville Crossing,Midday (9:30am-3pm),0.8K
Huntington,Midday (9:30am-3pm),0.9K
Herndon,Midday (9:30am-3pm),0.2K
Grosvenor-Strathmore,Midday (9:30am-3pm),0.7K
Greensboro,Midday (9:30am-3pm),0.2K
Greenbelt,Midday (9:30am-3pm),0.8K
Glenmont,Midday (9:30am-3pm),0.0K
Georgia Ave-Petworth,Midday (9:30am-3pm),1.4K
Gallery Place,Midday (9:30am-3pm),2.6K
Friendship Heights,Midday (9:30am-3pm),1.3K
Franconia-Springfield,Midday (9:30am-3pm),1.0K
Fort Totten,Midday (9:30am-3pm),3.3K
Forest Glen,Midday (9:30am-3pm),0.1K
Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K
Federal Triangle,Midday (9:30am-3pm),1.2K
Federal Center SW,Midday (9:30am-3pm),0.7K
Farragut West,Midday (9:30am-3pm),2.3K
Farragut North,Midday (9:30am-3pm),2.3K
Eisenhower Ave,Midday (9:30am-3pm),0.3K
Eastern Market,Midday (9:30am-3pm),1.2K
East Falls Church,Midday (9:30am-3pm),0.7K
Dupont Circle,Midday (9:30am-3pm),2.4K
Dunn Loring,Midday (9:30am-3pm),0.5K
Dulles Airport,Midday (9:30am-3pm),0.6K
Downtown Largo,Midday (9:30am-3pm),0.5K
Deanwood,Midday (9:30am-3pm),0.3K
Crystal City,Midday (9:30am-3pm),1.3K
Court House,Midday (9:30am-3pm),1.0K
Congress Heights,Midday (9:30am-3pm),0.6K
Columbia Heights,Midday (9:30am-3pm),2.3K
College Park-U of Md,Midday (9:30am-3pm),0.6K
Cleveland Park,Midday (9:30am-3pm),0.7K
Clarendon,Midday (9:30am-3pm),0.7K
Cheverly,Midday (9:30am-3pm),0.2K
Capitol South,Midday (9:30am-3pm),1.4K
Capitol Heights,Midday (9:30am-3pm),0.4K
Brookland-CUA,Midday (9:30am-3pm),1.1K
Branch Ave,Midday (9:30am-3pm),0.6K
Braddock Road,Midday (9:30am-3pm),0.5K
Bethesda,Midday (9:30am-3pm),1.4K
Benning Road,Midday (9:30am-3pm),0.6K
Ballston-MU,Midday (9:30am-3pm),1.3K
Ashburn,Midday (9:30am-3pm),0.3K
Arlington Cemetery,Midday (9:30am-3pm),0.8K
Archives,Midday (9:30am-3pm),1.1K
Anacostia,Midday (9:30am-3pm),1.2K
Addison Road,Midday (9:30am-3pm),0.4K
Woodley Park,AM Peak (Open-9:30am),1.6K
Wiehle-Reston East,AM Peak (Open-9:30am),1.1K
West Hyattsville,AM Peak (Open-9:30am),1.7K
West Falls Church,AM Peak (Open-9:30am),1.0K
Waterfront,AM Peak (Open-9:30am),1.0K
Virginia Sq-GMU,AM Peak (Open-9:30am),1.3K
Vienna,AM Peak (Open-9:30am),2.9K
Van Ness-UDC,AM Peak (Open-9:30am),1.5K
Van Dorn Street,AM Peak (Open-9:30am),1.0K
Union Station,AM Peak (Open-9:30am),5.6K
U Street,AM Peak (Open-9:30am),1.6K
Tysons,AM Peak (Open-9:30am),0.4K
Twinbrook,AM Peak (Open-9:30am),1.6K
Tenleytown-AU,AM Peak (Open-9:30am),1.3K
Takoma,AM Peak (Open-9:30am),0.0K
Suitland,AM Peak (Open-9:30am),1.8K
Stadium-Armory,AM Peak (Open-9:30am),0.8K
Spring Hill,AM Peak (Open-9:30am),0.3K
Southern Ave,AM Peak (Open-9:30am),1.9K
Smithsonian,AM Peak (Open-9:30am),0.2K
Shaw-Howard U,AM Peak (Open-9:30am),1.1K
Shady Grove,AM Peak (Open-9:30am),4.8K
Rosslyn,AM Peak (Open-9:30am),2.3K
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K
Rockville,AM Peak (Open-9:30am),1.5K
Rhode Island Ave,AM Peak (Open-9:30am),2.0K
Reston Town Center,AM Peak (Open-9:30am),0.5K
Potomac Yard,AM Peak (Open-9:30am),0.8K
Potomac Ave,AM Peak (Open-9:30am),1.5K
Pentagon City,AM Peak (Open-9:30am),2.9K
Pentagon,AM Peak (Open-9:30am),2.9K
North Bethesda,AM Peak (Open-9:30am),1.2K
NoMa-Gallaudet U,AM Peak (Open-9:30am),4.1K
New Carrollton,AM Peak (Open-9:30am),2.5K
Naylor Road,AM Peak (Open-9:30am),0.9K
Navy Yard-Ballpark,AM Peak (Open-9:30am),2.2K
Mt Vernon Sq,AM Peak (Open-9:30am),1.1K
Morgan Boulevard,AM Peak (Open-9:30am),0.7K
Minnesota Ave,AM Peak (Open-9:30am),0.8K
Metro Center,AM Peak (Open-9:30am),1.3K
Medical Center,AM Peak (Open-9:30am),0.6K
McPherson Sq,AM Peak (Open-9:30am),1.5K
McLean,AM Peak (Open-9:30am),0.5K
Loudoun Gateway,AM Peak (Open-9:30am),0.2K
Landover,AM Peak (Open-9:30am),0.8K
L'Enfant Plaza,AM Peak (Open-9:30am),1.6K
King St-Old Town,AM Peak (Open-9:30am),1.7K
Judiciary Square,AM Peak (Open-9:30am),0.4K
Innovation Center,AM Peak (Open-9:30am),0.5K
Hyattsville Crossing,AM Peak (Open-9:30am),1.7K
Huntington,AM Peak (Open-9:30am),2.7K
Herndon,AM Peak (Open-9:30am),0.8K
Grosvenor-Strathmore,AM Peak (Open-9:30am),2.0K
Greensboro,AM Peak (Open-9:30am),0.3K
Greenbelt,AM Peak (Open-9:30am),2.4K
Glenmont,AM Peak (Open-9:30am),0.0K
Georgia Ave-Petworth,AM Peak (Open-9:30am),2.1K
Gallery Place,AM Peak (Open-9:30am),1.1K
Friendship Heights,AM Peak (Open-9:30am),1.8K
Franconia-Springfield,AM Peak (Open-9:30am),2.3K
Fort Totten,AM Peak (Open-9:30am),6.6K
Forest Glen,AM Peak (Open-9:30am),0.1K
Foggy Bottom-GWU,AM Peak (Open-9:30am),2.8K
Federal Triangle,AM Peak (Open-9:30am),0.1K
Federal Center SW,AM Peak (Open-9:30am),0.3K
Farragut West,AM Peak (Open-9:30am),1.1K
Farragut North,AM Peak (Open-9:30am),0.8K
Eisenhower Ave,AM Peak (Open-9:30am),0.6K
Eastern Market,AM Peak (Open-9:30am),1.4K
East Falls Church,AM Peak (Open-9:30am),1.9K
Dupont Circle,AM Peak (Open-9:30am),2.7K
Dunn Loring,AM Peak (Open-9:30am),1.3K
Dulles Airport,AM Peak (Open-9:30am),0.5K
Downtown Largo,AM Peak (Open-9:30am),1.8K
Deanwood,AM Peak (Open-9:30am),0.5K
Crystal City,AM Peak (Open-9:30am),2.0K
Court House,AM Peak (Open-9:30am),2.1K
Congress Heights,AM Peak (Open-9:30am),1.0K
Columbia Heights,AM Peak (Open-9:30am),2.8K
College Park-U of Md,AM Peak (Open-9:30am),1.3K
Cleveland Park,AM Peak (Open-9:30am),1.1K
Clarendon,AM Peak (Open-9:30am),1.4K
Cheverly,AM Peak (Open-9:30am),0.4K
Capitol South,AM Peak (Open-9:30am),0.8K
Capitol Heights,AM Peak (Open-9:30am),1.0K
Brookland-CUA,AM Peak (Open-9:30am),1.9K
Branch Ave,AM Peak (Open-9:30am),2.1K
Braddock Road,AM Peak (Open-9:30am),1.5K
Bethesda,AM Peak (Open-9:30am),2.1K
Benning Road,AM Peak (Open-9:30am),1.1K
Ballston-MU,AM Peak (Open-9:30am),3.0K
Ashburn,AM Peak (Open-9:30am),1.2K
Arlington Cemetery,AM Peak (Open-9:30am),0.1K
Archives,AM Peak (Open-9:30am),0.2K
Anacostia,AM Peak (Open-9:30am),1.6K
Addison Road,AM Peak (Open-9:30am),1.1K