Station.Name,Longitude,Latitude
Woodley Park,-77.05242321,38.92470253
Wiehle-Reston East,-77.34012166,38.94809156
Wheaton,-77.05031694,39.03887999
West Hyattsville,-76.96931636,38.95565362
West Falls Church,-77.18893041,38.90102198
Waterfront,-77.01764705,38.87711726
Virginia Sq-GMU,-77.10347633,38.88322662
Vienna,-77.2713267,38.87725927
Van Ness-UDC,-77.06397479,38.94464228
Van Dorn Street,-77.12888784,38.79995338
Union Station,-77.00717831,38.89865632
U Street,-77.02584049,38.91688111
Tysons,-77.22224476,38.92078682
Twinbrook,-77.12068743,39.0614543
Tenleytown-AU,-77.07935409,38.94826105
Takoma,-77.0178322,38.97588834
Suitland,-76.93234432,38.84439873
Stadium-Armory,-76.97691609,38.88865532
Spring Hill,-77.24153389,38.92913518
Southern Ave,-76.97591078,38.84087961
Smithsonian,-77.02828046,38.88951347
Silver Spring,-77.03115332,38.99393286
Shaw-Howard U,-77.02170866,38.91479923
Shady Grove,-77.1647764,39.12013193
Rosslyn,-77.07142672,38.89775157
Ronald Reagan Washington National Airport,-77.04397621,38.85351171
Rockville,-77.1463875,39.08455281
Rhode Island Ave,-76.99605832,38.9212402
Reston Town Center,-77.36025717,38.95306093
Potomac Yard,-77.0429,38.8356
Potomac Ave,-76.9855,38.881
Pentagon City,-77.0596,38.8629
Pentagon,-77.0546,38.869
North Bethesda,-77.1186,39.0481
NoMa-Gallaudet U,-77.0036,38.9072
New Carrollton,-76.8721,38.9478
Naylor Road,-76.9562,38.8513
Navy Yard-Ballpark,-77.0051,38.8765
Mt Vernon Sq,-77.0222,38.9047
Morgan Boulevard,-76.8681,38.8913
Minnesota Ave,-76.9488,38.8993
Metro Center,-77.0281,38.8983
Medical Center,-77.097,39.0005
McPherson Sq,-77.0338,38.9013
McLean,-77.209,38.9247
Loudoun Gateway,-77.482,39.0155
Landover,-76.8903,38.9343
L'Enfant Plaza,-77.0219,38.8848
King St-Old Town,-77.0613,38.8066
Judiciary Square,-77.0168,38.8961
Innovation Center,-77.4476,38.952
Hyattsville Crossing,-76.9486,38.9554
Huntington,-77.0752,38.7939
Herndon,-77.3886,38.9543
Grosvenor-Strathmore,-77.1033,39.0292
Greensboro,-77.232,38.919
Greenbelt,-76.9114,39.011
Glenmont,-77.053,39.0616
Georgia Ave-Petworth,-77.0245,38.936
Gallery Place,-77.0219,38.8983
Friendship Heights,-77.0858,38.9607
Franconia-Springfield,-77.1689,38.7661
Fort Totten,-77.0022,38.9518
Forest Glen,-77.0429,39.0157
Foggy Bottom-GWU,-77.0509,38.9008
Federal Triangle,-77.0285,38.8933
Federal Center SW,-77.0158,38.884
Farragut West,-77.0391,38.9013
Farragut North,-77.0398,38.9032
Eisenhower Ave,-77.0719,38.8004
Eastern Market,-76.9953,38.8854
East Falls Church,-77.1573,38.8859
Dupont Circle,-77.0434,38.9096
Dunn Loring,-77.228,38.883
Dulles Airport,-77.4488,38.9531
Downtown Largo,-76.8449,38.9008
Deanwood,-76.9369,38.9076
Crystal City,-77.0509,38.8576
Court House,-77.0839,38.8912
Congress Heights,-76.9883,38.8455
Columbia Heights,-77.0326,38.9287
College Park-U of Md,-76.9285,38.9786
Cleveland Park,-77.0586,38.9348
Clarendon,-77.0969,38.886
Cheverly,-76.9157,38.9165
Capitol South,-77.0054,38.8851
Capitol Heights,-76.9111,38.8895
Brookland-CUA,-76.9949,38.9332
Branch Ave,-76.9127,38.8265
Braddock Road,-77.0534,38.814
Bethesda,-77.09403426,38.9843752
Benning Road,-76.93777869,38.89074159
Ballston-MU,-77.11163913,38.88256505
Ashburn,-77.49131375,39.00527902
Arlington Cemetery,-77.06348663,38.88494174
Archives,-77.02230029,38.89428218
Anacostia,-76.99527874,38.8623569
Addison Road,-76.89567672,38.88704556